# log10(h) log10(e_f2) log10(e_f3) log10(e_c2) log10(e_b2) log10(e_b3)
-0.1049101186 -0.4283805645 -0.9616712477 -1.151890919 -1.001375921 -0.7851220984
-0.4059401143 -0.7125584389 -1.831056992 -1.743895773 -1.593380775 -1.312699387
-0.70697011 -1.009395839 -2.725761788 -2.343443677 -2.19292868 -1.896937473
-1.008000106 -1.30937895 -3.626758007 -2.944875755 -2.794360757 -2.494587498
-1.309030101 -1.610147304 -4.529324709 -3.546778774 -3.396263776 -3.095547781
-1.610060097 -1.911111894 -5.432283885 -4.148799523 -3.998284525 -3.697333018
-1.911090093 -2.212125539 -6.335341163 -4.750849704 -4.600334706 -4.299324332
-2.212120088 -2.513151447 -7.238422922 -5.352907242 -5.202392244 -4.901367154
-2.513150084 -2.81418042 -8.141512025 -5.954966618 -5.804451632 -5.503422844
-2.81418008 -3.11521016 -9.044578066 -6.557026529 -6.406511417 -6.105481834
-3.115210075 -3.416240092 -9.947842237 -7.159086142 -7.008571879 -6.707540941
-3.416240071 -3.717270072 -10.85710846 -7.761145076 -7.610633257 -7.309600486
-3.717270067 -4.018300065 -11.83937969 -8.363233482 -8.212657805 -7.911698712
-4.018300062 -4.31933006 nan -8.965203989 -8.814945392 -8.513460324
-4.319330058 -4.620360066 -11.93628971 -9.56876551 -9.414965 -9.118025403
-4.620360054 -4.921389978 -11.33422972 -10.16477364 -10.01153175 -9.721558613
-4.921390049 -5.222420309 -11.03319972 -10.75759332 -10.59229206 -10.33496225
-5.222420045 -5.523448962 -10.73216973 -10.89134651 -11.11826565 -10.98563076
-5.523450041 -5.824478958 nan -11.24523499 -10.46943926 -10.12221117
-5.824480036 -6.12553044 -10.13010973 -10.61594207 -10.40824579 -9.950580254
-6.125510032 -6.426474496 -9.829079738 -10.30191032 -10.41137626 -10.41452821
-6.426540028 -6.727332664 -9.829079738 -10.61594207 -10.41216273 -10.41294938
-6.727570023 -7.02836266 nan -10.61594207 -9.256329809 -8.940390997
-7.028600019 -7.334925144 -8.925989751 -9.49395153 -9.199566204 -8.740554197
-7.329630015 -7.624959756 -8.925989751 -9.062916638 -9.199566967 -9.199567883
-7.63066001 -8.022899764 -8.32392976 -8.688049002 -9.199567272 -9.199567425
-7.931690006 -8.022899764 -8.022899764 -8.688049002 -8.052821853 -7.736573171
-8.232720002 nan -8.022899764 -8.569883615 -7.994907031 -7.536245713
-8.533749997 nan nan -8.16786694 -7.55552526 -7.181952146
-8.834779993 nan nan -7.91440156 -7.318185009 -6.90673789
-9.135809989 nan nan -7.195776303 -6.984143664 -6.592608233
-9.436839984 nan nan -7.055173873 -6.699305763 -6.298078679
-9.73786998 nan nan -7.195776303 -6.390104262 -5.9937863
-10.03889998 nan nan -6.264867926 -6.390104262 -6.390104262
-10.33992997 nan nan -6.264867926 -5.694384433 -5.351665274
-10.64095997 nan nan -5.724666496 -5.547325291 -5.113914565
-10.94198996 nan nan -5.526961823 -5.547325291 -5.547325291
-11.24301996 nan nan -5.724666496 -5.547325291 -5.547325291
-11.54404995 nan nan -5.724666496 -5.547325291 -5.547325291
-11.84507995 nan nan -5.724666496 -5.547325291 -5.547325291
-12.14610995 nan nan -5.724666496 -5.547325291 -5.547325291
-12.44713994 nan nan -4.120174531 -3.511429961 -3.20840534
-12.74816994 nan nan -3.628891076 -3.511429961 -3.511429961
-13.04919993 nan nan -3.628891076 -3.511429961 -3.511429961
-13.35022993 nan nan -3.067160478 -3.511429961 -3.511429961
-13.65125992 nan nan -3.067160478 -2.331094521 -2.01596035
-13.95228992 nan nan -2.385432767 -2.277234026 -1.817334613
-14.25331991 nan nan -3.067160478 -2.277234026 -2.277234026
-14.55434991 nan nan -1.966419237 -1.462091159 -1.129035352
-14.85537991 nan nan -2.04141401 -1.346109152 -0.904315337
