# log10(h) log10(e_f2) log10(e_f3) log10(e_c2) log10(e_b2) log10(e_b3)
-0.1049101186 -0.4283805645 -0.9616712477 -1.151890919 -1.001375921 -0.7851220984
-0.4059401143 -0.7125584389 -1.831056992 -1.743895773 -1.593380775 -1.312699387
-0.70697011 -1.009395839 -2.725761788 -2.343443677 -2.19292868 -1.896937473
-1.008000106 -1.30937895 -3.626758007 -2.944875755 -2.794360757 -2.494587498
-1.309030101 -1.610147304 -4.529324709 -3.546778774 -3.396263776 -3.095547781
-1.610060097 -1.911111894 -5.432283885 -4.148799523 -3.998284525 -3.697333018
-1.911090093 -2.212125539 -6.33534117 -4.750849704 -4.600334706 -4.299324332
-2.212120088 -2.513151447 -7.238422981 -5.352907242 -5.202392244 -4.901367154
-2.513150084 -2.81418042 -8.141510924 -5.95496662 -5.804451623 -5.503422853
-2.81418008 -3.11521016 -9.044600405 -6.557026459 -6.406511461 -6.105481772
-3.115210075 -3.416240092 -9.947690094 -7.159086411 -7.008571414 -6.707541495
-3.416240071 -3.717270072 -10.85077981 -7.761146393 -7.610631395 -7.309601419
-3.717270067 -4.018300064 -11.75388286 -8.363206366 -8.212691382 -7.911661395
-4.018300062 -4.319330058 -12.65767006 -8.965266308 -8.814751364 -8.513721386
-4.319330058 -4.620360054 -13.54004948 -9.567325818 -9.416812604 -9.115780111
-4.620360054 -4.921390049 -14.34452967 -10.16939114 -10.01887631 -9.717838886
-4.921390049 -5.222420045 nan -10.77146882 -10.62086909 -10.31997352
-5.222420045 -5.52345004 -14.34452967 -11.37365763 -11.22274237 -10.92208588
-5.523450041 -5.824480039 -13.74246968 -11.97322141 -11.82405632 -11.52451971
-5.824480036 -6.125510024 -13.44143969 -12.57272093 -12.46691633 -12.08779229
-6.125510032 -6.42654004 -13.44143969 -13.1646873 -12.87574724 -13.1248646
-6.426540028 -6.727569952 -13.14040969 -13.49143268 -13.08748325 -12.52777919
-6.727570023 -7.028600283 -12.83937969 -13.39661171 -13.00310616 -12.93248575
-7.028600019 -7.329628936 -12.5383497 -12.73312637 -12.32300298 -11.97883089
-7.329630015 -7.630658932 nan -12.16517863 -12.165091 -11.73450562
-7.63066001 -7.931710414 -11.93628971 -11.97741635 -11.78728865 -11.40365562
-7.931690006 -8.232826366 -11.63525971 -11.89872297 -11.78730687 -11.78732508
-8.232720002 -8.533512638 -11.33422972 -11.44628175 -11.78731143 -11.787316
-8.533749997 -8.834542634 nan -11.44628175 -11.78731257 -11.78731369
-8.834779993 -9.130109734 -10.73216973 -11.24523935 -10.45069907 -10.13977929
-9.135809989 -9.43113973 nan -10.61594299 -10.41242346 -9.947689673
-9.436839984 -9.829079738 -10.13010973 -10.30190967 -10.41242346 -10.41242346
-9.73786998 nan -9.829079738 -10.61594299 -10.41242346 -10.41242346
-10.03889998 nan nan -10.61594299 -9.256325374 -8.940395424
-10.33992997 nan nan -9.49395162 -9.199567238 -8.74055351
-10.64095997 nan nan -9.06291658 -9.199567238 -9.199567238
-10.94198996 nan nan -9.49395162 -9.199567238 -9.199567238
-11.24301996 nan nan -8.688048991 -8.052821859 -7.73657317
-11.54404995 nan nan -7.914401565 -7.994907032 -7.53624571
-11.84507995 nan nan -8.167866932 -7.55552526 -7.181952147
-12.14610995 nan nan -7.914401565 -7.318185008 -6.90673789
-12.44713994 nan nan -7.195776302 -6.984143664 -6.592608233
-12.74816994 nan nan -7.055173874 -6.699305763 -6.298078679
-13.04919993 nan nan -7.195776302 -6.390104262 -5.9937863
-13.35022993 nan nan -6.264867926 -6.390104262 -6.390104262
-13.65125992 nan nan -6.264867926 -5.694384433 -5.351665274
-13.95228992 nan nan -5.724666496 -5.547325291 -5.113914565
-14.25331991 nan nan -5.526961823 -5.547325291 -5.547325291
-14.55434991 nan nan -5.724666496 -5.547325291 -5.547325291
-14.85537991 nan nan -5.724666496 -5.547325291 -5.547325291
